0.603	0.0444	0.682
0.619	0.0258	0.6551
0.5914	0.0243	0.6309
0.8001	0.0203	0.8221
0.5726	0.0299	0.6238
0.6571	0.0223	0.6862
0.7524	0.0288	0.7798
0.6404	0.0227	0.6782
0.8836	0.0141	0.8962
0.5726	0.0299	0.6238
0.589	0.0274	0.6337
0.6321	0.0258	0.6707
0.5892	0.0269	0.6339
0.8182	0.0326	0.864
0.5591	0.0312	0.5954
0.6438	0.0274	0.6822
0.7792	0.0197	0.8058
0.642	0.0277	0.6863
0.8929	0.0127	0.9092
0.5591	0.0312	0.5954
0.6147	0.015	0.6349
0.6404	0.0247	0.6767
0.5917	0.0254	0.6332
0.8397	0.0248	0.8726
0.5626	0.0313	0.6008
0.6826	0.0448	0.7434
0.7834	0.0154	0.8032
0.6415	0.0226	0.6709
0.9013	0.0115	0.9187
0.5626	0.0313	0.6008
