0.5904	0.0301	0.622
0.6274	0.021	0.6513
0.5949	0.0233	0.6222
0.7879	0.0254	0.8178
0.5728	0.0278	0.6096
0.7127	0.0707	0.8226
0.8158	0.0177	0.842
0.7777	0.0112	0.797
0.8513	0.0137	0.8704
0.5728	0.0278	0.6096
0.5932	0.0345	0.6316
0.6367	0.0197	0.658
0.5885	0.0222	0.6138
0.7938	0.0219	0.8179
0.5622	0.0365	0.6204
0.7802	0.0721	0.8479
0.8302	0.0222	0.8587
0.7556	0.0332	0.7833
0.8524	0.0139	0.8704
0.5622	0.0365	0.6204
0.5933	0.0266	0.6216
0.6457	0.0213	0.673
0.5952	0.0215	0.6188
0.7976	0.0231	0.8201
0.5624	0.0341	0.6147
0.8228	0.0374	0.8625
0.8434	0.0271	0.8679
0.8097	0.0267	0.8522
0.8519	0.015	0.8706
0.5624	0.0341	0.6147
