0.5852	0.0253	0.635
0.6066	0.0291	0.6536
0.5877	0.0232	0.6301
0.8028	0.0188	0.8245
0.573	0.018	0.6043
0.6675	0.0474	0.7255
0.7169	0.0662	0.8217
0.6648	0.0394	0.7227
0.9007	0.0129	0.9194
0.573	0.018	0.6043
0.5759	0.0344	0.6367
0.6229	0.0256	0.6664
0.5869	0.0269	0.6316
0.8224	0.0245	0.8537
0.5476	0.0298	0.5963
0.6249	0.0278	0.6661
0.7238	0.0561	0.786
0.6473	0.0425	0.695
0.9034	0.0066	0.912
0.5476	0.0298	0.5963
0.5859	0.0217	0.6291
0.6379	0.0229	0.6737
0.5878	0.026	0.6334
0.8487	0.0231	0.8724
0.5529	0.0186	0.5844
0.6906	0.0611	0.8001
0.775	0.0691	0.8539
0.6621	0.0252	0.6959
0.92	0.0191	0.952
0.5529	0.0186	0.5844
