0.5953	0.0218	0.6354
0.5891	0.0265	0.6329
0.5815	0.0278	0.6248
0.8063	0.0218	0.8317
0.5745	0.025	0.615
0.6255	0.0289	0.6724
0.6392	0.0239	0.675
0.6455	0.051	0.7115
0.9037	0.0175	0.9338
0.5745	0.025	0.615
0.5745	0.0289	0.6244
0.6044	0.0206	0.6374
0.5822	0.0282	0.6283
0.828	0.0256	0.8578
0.5617	0.0251	0.6037
0.6307	0.0289	0.6749
0.7122	0.0438	0.7823
0.6539	0.0449	0.7032
0.9148	0.0083	0.9273
0.5617	0.0251	0.6037
0.5746	0.0296	0.6251
0.6145	0.0225	0.6472
0.5832	0.0292	0.6319
0.8585	0.0238	0.8759
0.558	0.0232	0.595
0.6464	0.051	0.7338
0.7008	0.058	0.8094
0.6412	0.0487	0.7002
0.9344	0.0257	0.9673
0.558	0.0232	0.595
