0.5927	0.0286	0.6337
0.5868	0.0253	0.6283
0.5783	0.0279	0.6258
0.8014	0.017	0.826
0.5714	0.0288	0.6031
0.6238	0.0385	0.6741
0.6466	0.0351	0.6943
0.6359	0.0332	0.6958
0.9105	0.0136	0.9346
0.5714	0.0288	0.6031
0.5879	0.0219	0.6126
0.5958	0.022	0.6307
0.5788	0.0287	0.6244
0.8383	0.0214	0.8562
0.5651	0.0279	0.5961
0.6243	0.032	0.684
0.6859	0.0411	0.7588
0.6324	0.0405	0.6863
0.9243	0.0163	0.9497
0.5651	0.0279	0.5961
0.5864	0.0342	0.6207
0.6103	0.0265	0.6498
0.5807	0.0289	0.6272
0.8606	0.0216	0.8788
0.5547	0.0237	0.5809
0.6518	0.0429	0.7202
0.6889	0.0483	0.7756
0.6364	0.0465	0.7023
0.9241	0.0082	0.9383
0.5547	0.0237	0.5809
